p	 S	 P
0,761525	2,989277	0,748050
0,758200	3,302433	0,743025
0,762950	3,727197	0,744825
0,764225	2,710473	0,751725
0,762625	2,691703	0,749600
0,765375	2,258618	0,754600
0,770025	2,103332	0,759850
0,769750	1,955891	0,759600
0,769325	2,724407	0,756950
0,773225	2,584222	0,762500
0,770125	2,208323	0,760100
0,774625	2,119559	0,764475
0,771900	2,578156	0,759375
0,774950	2,056006	0,765200
0,775125	1,943398	0,766275
0,777525	2,943334	0,764775
0,776700	2,158829	0,766700
0,779750	2,213329	0,769300
0,777625	2,241292	0,766850
0,779200	3,069912	0,767025
0,780300	1,738176	0,771425
0,781725	2,405055	0,770375
0,783275	2,247228	0,775350
0,781200	2,038543	0,772350
0,786475	1,919303	0,778025
0,784750	1,942557	0,776425
0,789075	1,502239	0,782925
0,788350	1,732099	0,780175
0,787750	1,832220	0,779375
0,792375	2,003554	0,784600
0,788550	1,953951	0,780075
0,789500	1,720791	0,782275
0,794600	1,476231	0,788075
0,796500	1,612880	0,789100
0,793825	2,262977	0,785750
0,795325	1,677365	0,789025
0,797400	1,784217	0,790275
0,800475	1,734564	0,793425
0,795400	1,710699	0,789175
0,798925	1,494095	0,793400
0,802000	1,481817	0,796425
0,801675	1,523202	0,795275
0,802175	1,308407	0,796925
0,802525	1,353802	0,796600
0,806325	1,273455	0,801525
0,807200	0,908262	0,803550
0,808925	1,453563	0,803375
0,809700	1,195563	0,805125
0,808275	1,219048	0,803925
0,810800	1,361590	0,805350
0,807300	1,162913	0,802575
0,810050	0,985024	0,806350
0,816050	1,023333	0,812575
0,812050	1,244085	0,807250
0,813650	1,090000	0,809650
0,813875	0,963413	0,810475
0,813775	1,036160	0,809600
0,817250	0,863889	0,813650
0,821600	1,299042	0,817375
0,824300	1,022984	0,820825
0,823750	0,912952	0,819950
0,822725	0,914302	0,818875
0,822000	1,069833	0,818125
0,823600	0,811000	0,820650
0,823325	1,017136	0,819600
0,824825	1,354174	0,820475
0,826125	0,952690	0,822200
0,827000	0,841667	0,823925
0,830525	0,914771	0,827625
0,825775	0,889190	0,822600
0,828675	0,819127	0,825575
0,834225	0,982429	0,831000
0,833000	0,780833	0,829750
0,834325	0,965216	0,831075
0,832800	0,778016	0,830125
0,838225	0,770667	0,835775
0,834250	0,785212	0,831150
0,839050	0,859333	0,836375
0,837175	0,715000	0,834825
0,840150	0,811333	0,837575
0,837625	1,082889	0,834350
0,839700	0,869000	0,836950
0,842225	0,910714	0,839150
0,842800	0,696667	0,840475
0,843350	0,572095	0,841475
0,846450	0,965667	0,843325
0,846950	0,535000	0,845275
0,847075	0,488333	0,845600
0,849325	0,725333	0,846800
0,848600	0,604167	0,846725
0,851700	0,405000	0,850425
0,851600	0,405000	0,850200
0,855700	0,609000	0,853800
0,854300	0,577333	0,852400
0,855575	0,631667	0,853475
0,857550	0,415000	0,856150
0,857475	0,720000	0,855450
0,858500	0,513000	0,856900
0,857950	0,719205	0,855750
0,859500	0,552000	0,857925
0,858025	0,389286	0,856725
0,861400	0,490190	0,859850
0,864200	0,535000	0,862775
0,863400	0,250000	0,862650
0,867450	0,646190	0,865525
0,866400	0,501667	0,864950
0,867150	0,346667	0,866050
0,869175	0,284000	0,868225
0,868450	0,576667	0,866675
0,869700	0,477312	0,868225
0,869900	0,310000	0,868950
0,872675	0,350667	0,871600
0,868750	0,394000	0,867575
0,872050	0,370000	0,871050
0,876075	0,366222	0,874925
0,874750	0,440000	0,873375
0,876725	0,436667	0,875525
0,878950	0,324667	0,877925
0,879825	0,321818	0,878900
0,877150	0,375000	0,876075
0,880950	0,270000	0,880150
0,882000	0,283333	0,881125
0,882125	0,310000	0,881250
0,884675	0,250000	0,884000
0,887175	0,200000	0,886625
0,885525	0,166667	0,885050
0,886675	0,310000	0,885900
0,886550	0,146667	0,886100
0,891550	0,190000	0,891000
0,889500	0,176667	0,889000
0,891875	0,210000	0,891275
0,891425	0,220000	0,890800
0,891450	0,220000	0,890875
0,893075	0,216667	0,892475
0,895600	0,180000	0,895150
0,892700	0,210000	0,892125
0,898525	0,232857	0,897900
0,898700	0,160000	0,898275
0,896775	0,231667	0,896000
0,902625	0,290000	0,901900
0,899575	0,166667	0,899125
0,901350	0,249167	0,900625
0,904425	0,130000	0,904100
0,904200	0,170000	0,903775
0,905200	0,090000	0,904950
0,903000	0,176667	0,902450
0,908700	0,240000	0,908100
0,908275	0,180000	0,907825
0,910625	0,160000	0,910225
0,911275	0,130000	0,910950
0,913325	0,120000	0,913000
0,910350	0,116667	0,910025
0,912175	0,200000	0,911650
0,913650	0,120000	0,913350
0,914625	0,240000	0,914025
0,918525	0,040000	0,918425
0,918650	0,114000	0,918300
0,915200	0,175000	0,914700
0,920525	0,150000	0,920150
0,919825	0,080000	0,919625
0,921650	0,090000	0,921400
0,924050	0,080000	0,923850
0,924050	0,060000	0,923900
0,921475	0,100000	0,921200
0,924700	0,110000	0,924400
0,924725	0,030000	0,924625
0,929250	0,040000	0,929150
0,928975	0,050000	0,928825
0,927350	0,140000	0,927000
0,926500	0,060000	0,926350
